source_name,indicator_id,normalized_name,mapping_status,basis
"""Did you receive enough information from hospital staff about what to do if you were worried about your condition or treatment after you left the hospital?Response: Completely",ind_eaf99c3144515eb3,"""Did you receive enough information from hospital staff about what to do if you were worried about your condition or treatment after you left the hospital?Response: Completely",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""Do you feel that you can raise a concern about staff without it negatively affecting your (or your family members') care?Response: Yes Definitely",ind_e192cc102187bd02,"""Do you feel that you can raise a concern about staff without it negatively affecting your (or your family members') care?Response: Yes Definitely",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""How often did staff involve you in planning your (or your family members') care?""Response: Always",ind_64124c1c52a26d14,"""How often did staff involve you in planning your (or your family members') care?""Response: Always",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""How often did staff listen carefully to you?""Response: Always",ind_a47a0457419a8c9f,"""How often did staff listen carefully to you?""Response: Always",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""I was involved as much as I wanted to be in decisions about my treatment and support.""Response: Strongly Agree",ind_8868923bcfa26d91,"""I was involved as much as I wanted to be in decisions about my treatment and support.""Response: Strongly Agree",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""If I had a serious concern, I would know how to make a formal complaint to this organization."" Response: Strongly Agree",ind_d686c151f23c6029,"""If I had a serious concern, I would know how to make a formal complaint to this organization."" Response: Strongly Agree",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"""Medication reconciliation at admission: Total number of admitted patients for whom a Best Possible Medication Admission Plan was created as a proportion to the total number of patients admitted.""",ind_8582e29cc0241bad,"""Medication reconciliation at admission: Total number of admitted patients for whom a Best Possible Medication Admission Plan was created as a proportion to the total number of patients admitted.""",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
# Alternate Level of Care (ALC) throughput,ind_1d25decb2093265d,# Alternate Level of Care (ALC) throughput,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"# of encounters of professional interpretation services (in-person, phone, and remote video) per month across all Sunnybrook clinical areas (inpatient & outpatient).",ind_7dc4d3014e4e345e,"# of encounters of professional interpretation services (in-person, phone, and remote video) per month across all Sunnybrook clinical areas (inpatient & outpatient).",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
# of encounters of professional interpretation services for American Sign Language (ASL) (in-person and remote video) per month across all Sunnybrook clinical areas (inpatient & outpatient).,ind_391a563f2610ca68,# of encounters of professional interpretation services for American Sign Language (ASL) (in-person and remote video) per month across all Sunnybrook clinical areas (inpatient & outpatient).,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
# of in person huddles with various department/program in each quarter to target front line EDI focused training,ind_75ae27727936dfb5,# of in person huddles with various department/program in each quarter to target front line EDI focused training,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
"# of patient incidents, particularly near miss/good catch events, reported per month",ind_40262ff9d5ce78c2,"# of patient incidents, particularly near miss/good catch events, reported per month",accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
# of total safety reports with documented follow-up in the Safety Event Reporting System in Q4 2025/26,ind_f18aab9c6e6f9f78,# of total safety reports with documented follow-up in the Safety Event Reporting System in Q4 2025/26,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Bedside Medication Verification Rate,ind_164237e4c24ea503,% Bedside Medication Verification Rate,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
% Completion of electronic medication reconciliation at admission and discharge,ind_b7cb4c6d9c3ca6b7,% Completion of electronic medication reconciliation at admission and discharge,accepted,Source-exact definition retained; display whitespace only; no cross-label equivalence asserted
