source_name,organization_id,normalized_name,mapping_status,basis
Alexandra Hospital,org_d33ca5af70454463,Alexandra Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Alexandra Marine and General Hospital,org_ca678c161dd84b8a,Alexandra Marine and General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Anson General Hospital,org_436e0d774e407c38,Anson General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Arnprior Regional Health,org_a7c34c2ab796efb6,Arnprior Regional Health,accepted,Exact source identity; trim display whitespace only; no succession inferred
Atikokan General Hospital,org_1919e05f77f4d80e,Atikokan General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Baycrest Hospital (North York),org_3c1d3536d63206c4,Baycrest Hospital (North York),accepted,Exact source identity; trim display whitespace only; no succession inferred
Bingham Memorial Hospital,org_ab1ce44ff4842284,Bingham Memorial Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Blanche River Health,org_6450c9c921968c16,Blanche River Health,accepted,Exact source identity; trim display whitespace only; no succession inferred
Bluewater Health,org_ffea216599e5e6b1,Bluewater Health,accepted,Exact source identity; trim display whitespace only; no succession inferred
Brant Community Healthcare System,org_3cd6a4bd2a94177c,Brant Community Healthcare System,accepted,Exact source identity; trim display whitespace only; no succession inferred
Brightshores Health System ,org_45bd58add12fc7ed,Brightshores Health System,accepted,Exact source identity; trim display whitespace only; no succession inferred
Brockville General Hospital,org_b7a54963ba1fc573,Brockville General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Bruyère Health,org_7aecc97c1caef653,Bruyère Health,accepted,Exact source identity; trim display whitespace only; no succession inferred
Cambridge Memorial Hospital,org_ffe1250ca721fe98,Cambridge Memorial Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Campbellford Memorial Hospital,org_1ccfa630e73e76b0,Campbellford Memorial Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Casey House,org_1d175b61e7adc954,Casey House,accepted,Exact source identity; trim display whitespace only; no succession inferred
Centre for Addiction and Mental Health,org_d994dbf05a4b56ae,Centre for Addiction and Mental Health,accepted,Exact source identity; trim display whitespace only; no succession inferred
Chatham-Kent Health Alliance,org_dc48df72ed816670,Chatham-Kent Health Alliance,accepted,Exact source identity; trim display whitespace only; no succession inferred
Children's Hospital of Eastern Ontario,org_792f3d6269c0b645,Children's Hospital of Eastern Ontario,accepted,Exact source identity; trim display whitespace only; no succession inferred
Collingwood General and Marine Hospital,org_ca930a71519bf901,Collingwood General and Marine Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Cornwall Community Hospital,org_584e957624d8de40,Cornwall Community Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Deep River And District Hospital,org_16b8f88dd0e87ca9,Deep River And District Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Dryden Regional Health Centre,org_5817162f8fc6018f,Dryden Regional Health Centre,accepted,Exact source identity; trim display whitespace only; no succession inferred
Erie Shores Healthcare,org_4ed5875b842f3faa,Erie Shores Healthcare,accepted,Exact source identity; trim display whitespace only; no succession inferred
Espanola General Hospital,org_4d6f1f5a8005dbc5,Espanola General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Georgian Bay General Hospital,org_f2ecb8bbfe8e4cbb,Georgian Bay General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Geraldton District Hospital,org_3b49086244c14560,Geraldton District Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Glengarry Memorial Hospital,org_f05da09420b0d727,Glengarry Memorial Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Grand River Hospital Corporation,org_44e6ac7018e56922,Grand River Hospital Corporation,accepted,Exact source identity; trim display whitespace only; no succession inferred
Groves Memorial Community Hospital,org_745a3756d1f32bf3,Groves Memorial Community Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Guelph General Hospital,org_7572022c35854d28,Guelph General Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Haldimand War Memorial Hospital,org_c0228dbc8d2ee4c0,Haldimand War Memorial Hospital,accepted,Exact source identity; trim display whitespace only; no succession inferred
Haliburton Highlands Health Services Corporation,org_a61294cfc736d43f,Haliburton Highlands Health Services Corporation,accepted,Exact source identity; trim display whitespace only; no succession inferred
Halton Healthcare Services Corporation,org_8cdff0e3f84b8a72,Halton Healthcare Services Corporation,accepted,Exact source identity; trim display whitespace only; no succession inferred
Hamilton Health Sciences Corporation,org_21fdc7b5cfbc878e,Hamilton Health Sciences Corporation,accepted,Exact source identity; trim display whitespace only; no succession inferred
