current_plan_group_id,organization_id,indicator_id,plan_fiscal_year,ed_scope,source_record_ids,intervention_count
current_group_e67dc91bf84cd9954e13,org_004976c32c109a2a,ind_0646035afd9bba7c,2026/27,excluded,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_787""]",1
current_group_37bad8db5d3ab7fe5e8a,org_004976c32c109a2a,ind_06590f50f65eac7e,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_793""]",1
current_group_091bc23657c66ee2c722,org_004976c32c109a2a,ind_37478f8fb5db2bb6,2026/27,excluded,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_794"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_795"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_796""]",3
current_group_ba68d1a4bff193f73f6f,org_004976c32c109a2a,ind_5314e24f5f6e6912,2026/27,excluded,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_797""]",1
current_group_c629a8accec512531b6e,org_004976c32c109a2a,ind_5b2e1352e31909e8,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_803""]",1
current_group_e93992478c7c69ceb984,org_004976c32c109a2a,ind_67ee717abbe20a1b,2026/27,excluded,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_788"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_789""]",2
current_group_f705f899a390d647674c,org_004976c32c109a2a,ind_7ebd4762b8a6c688,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_800""]",1
current_group_a54bd2ff4fc235f49171,org_004976c32c109a2a,ind_e666bcb709405e0f,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_798"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_799""]",2
current_group_3a91a658d7d92c895f2b,org_004976c32c109a2a,ind_e7cd9b5804f1c518,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_801"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_802""]",2
current_group_d6d67e67ac639237d922,org_004976c32c109a2a,ind_ee70b593aad3e4f6,2026/27,included,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_790"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_791""]",2
