cycle_id,primary_category,intervention_category,interventions_in_category,cycle_outcome,target_met,organization_id,indicator_id,hospital_model,region,plan_fiscal_year,ed_scope,analysis_eligible,analysis_exclusion_reason,comparison_eligible,category_count_per_cycle,classified_category_count_per_cycle,single_category_cycle,multi_category_cycle,single_classified_category_cycle,has_unclassified_interventions,intervention_ids
cycle_fdf29fa7958bf0485878,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_004976c32c109a2a,ind_06590f50f65eac7e,Small Hospital,East Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,2,2,false,true,false,false,"[""intervention_65d7f2e039d97d01afe7""]"
cycle_fdf29fa7958bf0485878,Policy / Standardization,Policy / Standardization,1,Insufficient data,,org_004976c32c109a2a,ind_06590f50f65eac7e,Small Hospital,East Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,2,2,false,true,false,false,"[""intervention_f7fe1bdd268121467b93""]"
cycle_19af076068d1a80951ee,Training & Education,Training & Education,1,Insufficient data,,org_004976c32c109a2a,ind_06590f50f65eac7e,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_1ec721dc9aadde362f16""]"
cycle_114704e4c31725edbe44,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_190f792c11f8550f,Small Hospital,East Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_fbb0829b111b22246f58""]"
cycle_ed481ca29cd2bba0b8bb,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_2f90b8c20acfc56f,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_003dac73f6ac5a631756""]"
cycle_8afea5997b4eb695b159,Bed & Capacity Management,Bed & Capacity Management,1,Insufficient data,,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,3,2,false,true,false,true,"[""intervention_c2508d26349cb334f01a""]"
cycle_8afea5997b4eb695b159,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,3,2,false,true,false,true,"[""intervention_f7621baf3bc81f6a949d""]"
cycle_8afea5997b4eb695b159,Patient Streaming / Triage,Patient Streaming / Triage,1,Insufficient data,,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,3,2,false,true,false,true,"[""intervention_5a57d878a43500a0da19""]"
cycle_cf8f0b647c6b9cdc0f30,Training & Education,Training & Education,1,Insufficient data,,org_004976c32c109a2a,ind_5314e24f5f6e6912,Small Hospital,East Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_ca004e722a13202ce86f""]"
cycle_555b9691c2a114c07e0d,Training & Education,Training & Education,1,Insufficient data,,org_004976c32c109a2a,ind_5314e24f5f6e6912,Small Hospital,East Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_17206760a8b6b7083023""]"
cycle_036d51a87d3ac41a678e,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_004976c32c109a2a,ind_5b2e1352e31909e8,Small Hospital,East Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_a2bc53d3a919c5d13914""]"
cycle_0a9639a18a957550b7d4,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_67ee717abbe20a1b,Small Hospital,East Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_48667088439f0902d893""]"
cycle_52ba97cd86551f02e733,Training & Education,Training & Education,1,Insufficient data,,org_004976c32c109a2a,ind_67ee717abbe20a1b,Small Hospital,East Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_9decf1af94b10d5fc278""]"
cycle_0b546e286246055d5a75,Patient Streaming / Triage,Patient Streaming / Triage,1,Insufficient data,,org_004976c32c109a2a,ind_7ebd4762b8a6c688,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_ad38786b1dd724fa2be2""]"
cycle_c7eab336f18f1bbcf2fb,Training & Education,Training & Education,1,Insufficient data,,org_004976c32c109a2a,ind_a8f6cca5fe8befdf,Small Hospital,East Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_de5aa225a61fc7bd4d6b""]"
cycle_9615db292a317e211200,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_c88639d5b7683c20,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_596ed49a510b3f244aad""]"
cycle_5253ad9bdb2d5256e177,Other,Other,2,Insufficient data,,org_004976c32c109a2a,ind_cd57992e4ca687e8,Small Hospital,East Region,2024/25,needs_review,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_0be6ab44fc1e339460c4"",""intervention_49a7c58bc648c8a20028""]"
cycle_2675e9372c713b886280,Other,Other,1,Insufficient data,,org_004976c32c109a2a,ind_dd27b495d4655058,Small Hospital,East Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,0,true,false,false,true,"[""intervention_e0a5f06df902fcd1e74a""]"
cycle_58a4dd9846176bd4eeb6,Patient Streaming / Triage,Patient Streaming / Triage,1,Insufficient data,,org_004976c32c109a2a,ind_e666bcb709405e0f,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_6c2dcae4d9a376943d92""]"
cycle_84deca07a35320a986aa,Staffing & Scheduling,Staffing & Scheduling,1,Insufficient data,,org_004976c32c109a2a,ind_e7cd9b5804f1c518,Small Hospital,East Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_d54ac26d11aabadc101e""]"
cycle_9a71448d549efdc02a5b,Ambulance / EMS Flow,Ambulance / EMS Flow,1,Insufficient data,,org_004976c32c109a2a,ind_ee70b593aad3e4f6,Small Hospital,East Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,true,false,"[""intervention_3c82cfecc73decfdf3dc""]"
cycle_ac12907f4eec0fa0b11a,Ambulance / EMS Flow,Ambulance / EMS Flow,1,Insufficient data,,org_004976c32c109a2a,ind_ee70b593aad3e4f6,Small Hospital,East Region,2025/26,included,false,reporting_period_unverified,false,1,1,true,false,true,false,"[""intervention_63c20b0f83a116efb98e""]"
cycle_a9363ee69661c11fc1f2,Care Coordination & Communication,Care Coordination & Communication,1,Insufficient data,,org_004976c32c109a2a,ind_ef4a9573ead4ee92,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,2,2,false,true,false,false,"[""intervention_5c15cbc4f74f8d03cfd4""]"
cycle_a9363ee69661c11fc1f2,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_004976c32c109a2a,ind_ef4a9573ead4ee92,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,2,2,false,true,false,false,"[""intervention_5d22fbf03d3bc19f0e62""]"
cycle_a067feae940a3703722f,Discharge & Transition Planning,Discharge & Transition Planning,1,Insufficient data,,org_004976c32c109a2a,ind_f197a93604c302d2,Small Hospital,East Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_cacd48958d16e8aa8471""]"
cycle_941400a2d78a35ac3af3,Technology & Digital Tools,Technology & Digital Tools,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_0646035afd9bba7c,Large Community Hospital,West Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_9fd8743fb8f7d3f32eb6""]"
cycle_efd9aef090817ff2c74a,Technology & Digital Tools,Technology & Digital Tools,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_0646035afd9bba7c,Large Community Hospital,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_a3c969fa311cb74087cf""]"
cycle_d8cff49d1f5f9a3a8808,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_06590f50f65eac7e,Large Community Hospital,West Region,2024/25,included,false,insufficient first-cycle ED longitudinal coverage,false,1,1,true,false,true,false,"[""intervention_168480eea597e5fd0620""]"
cycle_5d19b5d7e3289dbbc680,Emergency Department Workflow,Emergency Department Workflow,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_06590f50f65eac7e,Large Community Hospital,West Region,2025/26,included,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,true,false,"[""intervention_cd92abd30dd2f5c776ed""]"
cycle_d0aa5d1b3c1a8a004363,Policy / Standardization,Policy / Standardization,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_37478f8fb5db2bb6,Large Community Hospital,West Region,2024/25,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_4f076677e91eb9509b42""]"
cycle_3e9bd777486a3395b998,Policy / Standardization,Policy / Standardization,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_37478f8fb5db2bb6,Large Community Hospital,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_8fd0efeec17eef2cd6b3""]"
cycle_e13f18aa569c1bb452d8,Training & Education,Training & Education,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_50d5738b48c86253,Large Community Hospital,West Region,2025/26,needs_review,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_201211ee0d23edf510a1""]"
cycle_0e9976d49e0ac9379acf,Training & Education,Training & Education,1,Insufficient data,,org_01f7d38f0c7f1cff,ind_5314e24f5f6e6912,Large Community Hospital,West Region,2025/26,excluded,false,outside primary ED analysis scope,false,1,1,true,false,true,false,"[""intervention_dc0672071c3e91662087""]"
