scope,plan_fiscal_year,metric,value,numerator,denominator,sample_size,definition
all_hospitals,2024/25,workplan_rows,1688,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,progress_rows,1102,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,total_cycles,819,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,valid_cycles,816,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,workplan_cycles,817,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,progress_cycles,480,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,matched_cycles,475,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,candidate_matched_cycles,478,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,unmatched_cycles,341,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,workplan_only_cycles,339,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,progress_only_cycles,2,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,ambiguous_matches,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,cycles_needing_identity_review,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,exact_matches,475,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,normalized_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,fuzzy_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,outcome_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2024/25,cycles_with_insufficient_data,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2024/25,target_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2024/25,analysis_eligible_cycles,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,cycles_containing_multiple_interventions,452,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,cycles_with_implementation_conflicts,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,cycles_with_mixed_implementation,86,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,interventions,1689,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,interventions_classified_other,574,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,interventions_with_implementation_conflicts,4,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,workplan_rows_in_matched_cycles,1041,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,progress_rows_in_matched_cycles,1090,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,exact_idea_matched_workplan_rows,1049,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2024/25,workplan_cycle_match_rate_pct,58.13953488372093,475,817,817,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2024/25,progress_cycle_match_rate_pct,98.95833333333333,475,480,480,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2024/25,workplan_row_cycle_match_rate_pct,61.670616113744074,1041,1688,1688,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2024/25,exact_idea_workplan_row_coverage_pct,62.144549763033176,1049,1688,1688,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2024/25,other_pct,33.9846062759029,574,1689,1689,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2025/26,workplan_rows,1742,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,progress_rows,1241,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,total_cycles,850,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,valid_cycles,849,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,workplan_cycles,849,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,progress_cycles,574,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,matched_cycles,572,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,candidate_matched_cycles,573,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,unmatched_cycles,277,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,workplan_only_cycles,276,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,progress_only_cycles,1,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,ambiguous_matches,1,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,cycles_needing_identity_review,1,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,exact_matches,572,,,,Included source records; test exclusions applied; coverage diagnostic
