indicator_id,normalized_indicator_name,display_name,unit,comparable_population,definition_verified,indicator_outcome_eligible,definition_sources,reporting_period_information,source_names,direction,direction_basis,ed_scope,expected_units,expected_populations,reported_domains,indicator_type,metadata_version,source_record_ids
ind_001a288c000187d5,Communication Boards in CCU and CSICU at UOHI,Communication Boards in CCU and CSICU at UOHI,unknown,unknown,false,false,[],{},"[""Communication Boards in CCU and CSICU at UOHI""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Experience""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_535""]"
ind_002910b76aeb5d4f,% of repeat ED visits for mental health and addictions (MHA) conditions.,% of repeat ED visits for mental health and addictions (MHA) conditions.,unknown,unknown,false,false,[],{},"[""% of repeat ED visits for mental health and addictions (MHA) conditions.""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"["""",""Access and Flow""]",unknown,2.0,"[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_600"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1660""]"
ind_01320c3693fcfb56,"Return visits within 72 hours of discharge from the initial ED non-admit visit, resulting in admission to an inpatient unit on the second visit.","Return visits within 72 hours of discharge from the initial ED non-admit visit, resulting in admission to an inpatient unit on the second visit.",unknown,unknown,false,false,[],{},"[""Return visits within 72 hours of discharge from the initial ED non-admit visit, resulting in admission to an inpatient unit on the second visit.""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Access and Flow""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1366""]"
ind_016cc0b23dbba251,Number of lost time incidents resulting from workplace violence (WV),Number of lost time incidents resulting from workplace violence (WV),unknown,unknown,false,false,[],{},"[""Number of lost time incidents resulting from workplace violence (WV)""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Safety""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_329"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_330""]"
ind_01d35a77e22b6ffe,Hand Hygiene,Hand Hygiene,unknown,unknown,false,false,[],{},"[""Hand Hygiene""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"["""",""Safety""]",unknown,2.0,"[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_350"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_179""]"
ind_01e0b2bc312470a9,"Percent of respondents who responded with ""Very Good"" or Excellent"" to the following questions.","Percent of respondents who responded with ""Very Good"" or Excellent"" to the following questions.",unknown,unknown,false,false,[],{},"[""Percent of respondents who responded with \""Very Good\"" or Excellent\"" to the following questions.""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Experience""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1340""]"
ind_022983814e191531,Average Length of Stay (LOS) for Alternate Level of Care (ALC) Patients (Inpatient),Average Length of Stay (LOS) for Alternate Level of Care (ALC) Patients (Inpatient),unknown,unknown,false,false,[],{},"[""Average Length of Stay (LOS) for Alternate Level of Care (ALC) Patients (Inpatient)""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Access and Flow""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_301""]"
ind_0257c6a730152172,Percentage of front-line staff in ED and Surgery who have completed relevant IDEAA education,Percentage of front-line staff in ED and Surgery who have completed relevant IDEAA education,unknown,unknown,false,false,[],{},"[""Percentage of front-line staff in ED and Surgery who have completed relevant IDEAA education""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"["""",""Equity""]",unknown,2.0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_752"",""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_753"",""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_296"",""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_297""]"
ind_02586b3a2ab8b71a,"Number of falls with harm per 1,000 patient days on Medicine and Cardiovascular & Stroke units","Number of falls with harm per 1,000 patient days on Medicine and Cardiovascular & Stroke units",unknown,unknown,false,false,[],{},"[""Number of falls with harm per 1,000 patient days on Medicine and Cardiovascular & Stroke units""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"[""Safety""]",unknown,2.0,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1131"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1132"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1133"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1134"",""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1135""]"
ind_029ecf6a6eaaacd2,Overall care provider Experience,Overall care provider Experience,unknown,unknown,false,false,[],{},"[""Overall care provider Experience""]",unknown,Unreviewed direction; no calculations permitted,needs_review,[],[],"["""",""Experience""]",unknown,2.0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1298"",""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_883""]"
