cycle_id,organization_id,indicator_id,plan_fiscal_year,progress_report_fiscal_year,cycle_valid,match_status,match_method,review_reasons,ed_scope,direction,normalized_unit,normalized_population,comparable,context_provenance,comparison_basis,observation_period_status,baseline_periods_raw,previous_value,previous_status,previous_values_raw,target_value,target_status,target_values_raw,current_value,current_status,current_values_raw,outcome_class,performance_change,performance_change_pct,improvement_pct,target_met,outcome_reason,target_reason,workplan_row_count,progress_row_count,workplan_source_ids,progress_source_ids,intervention_count,workplan_intervention_count,progress_only_intervention_count,implementation_status,implementation_conflict_count,region_values,hospital_model_values,reporting_period_verified,population_verified,unit_verified,comparison_eligible,comparison_exclusion_reasons,reporting_period_evidence,reporting_period_evidence_source_ids,baseline_start,baseline_end,followup_start,followup_end,primary_analysis_period,analysis_eligible,analysis_exclusion_reason,numeric_change_candidate,category_count_per_cycle,classified_category_count_per_cycle,single_category_cycle,multi_category_cycle,has_unclassified_interventions,single_classified_category_cycle,hospital_model,region
cycle_fdf29fa7958bf0485878,org_004976c32c109a2a,ind_06590f50f65eac7e,2024/25,2025/26,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,percent,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Fiscal Year""]",11.80,numeric,"[""11.80""]",6.99,numeric,"[""6.99""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",2,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_670"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_671""]",[],2,2,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,insufficient first-cycle ED longitudinal coverage,false,2,2,false,true,false,false,Small Hospital,East Region
cycle_19af076068d1a80951ee,org_004976c32c109a2a,ind_06590f50f65eac7e,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",included,lower_is_better,percent,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Fiscal Year""]",11.10,numeric,"[""11.10""]",8.33,numeric,"[""8.33""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_758""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_114704e4c31725edbe44,org_004976c32c109a2a,ind_190f792c11f8550f,2025/26,2026/27,true,matched,exact,"[""unknown_unit_or_population"",""unknown_indicator_direction""]",needs_review,unknown,unknown,unknown,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / April - March""]",0.00,numeric,"[""0.00""]",0.00,numeric,"[""0.00""]",0.00,numeric,"[""0.00""]",Insufficient data,,,,,"[""unknown_unit_or_population"",""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]","[""unknown_unit_or_population"",""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",1,1,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_761""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_670""]",1,1,0,Implemented,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_ed481ca29cd2bba0b8bb,org_004976c32c109a2a,ind_2f90b8c20acfc56f,2024/25,2025/26,true,matched,exact,"[""unknown_indicator_direction""]",needs_review,unknown,percent,all acute patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / April - March""]",31.00,numeric,"[""31.00""]",12.00,numeric,"[""12.00""]",22.00,numeric,"[""22.00""]",Insufficient data,,,,,"[""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]","[""unknown_indicator_direction"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",1,1,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_673""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_569""]",1,1,0,Implemented,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_8afea5997b4eb695b159,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,2024/25,2025/26,true,workplan_only,,"[""workplan_only"",""unknown_indicator_direction""]",needs_review,unknown,hours,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Other""]",8.68,numeric,"[""8.68""]",5.81,numeric,"[""5.81""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""unknown_indicator_direction"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""unknown_indicator_direction"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",3,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_663"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_664"",""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_665""]",[],3,3,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,3,2,false,true,true,false,Small Hospital,East Region
cycle_cf8f0b647c6b9cdc0f30,org_004976c32c109a2a,ind_5314e24f5f6e6912,2024/25,2025/26,true,workplan_only,,"[""workplan_only""]",excluded,higher_is_better,percent,staff,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / Other""]",,CB,"[""CB""]",80.00,numeric,"[""80.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""previous_CB"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_672""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_555b9691c2a114c07e0d,org_004976c32c109a2a,ind_5314e24f5f6e6912,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",excluded,higher_is_better,percent,staff,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / Other""]",31.00,numeric,"[""31.00""]",80.00,numeric,"[""80.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_760""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,1,true,false,false,true,Small Hospital,East Region
cycle_036d51a87d3ac41a678e,org_004976c32c109a2a,ind_5b2e1352e31909e8,2025/26,2026/27,true,matched,exact,[],included,lower_is_better,count,ed patients,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""CIHI NACRS / Fiscal Year""]",2.28,numeric,"[""2.28""]",2.28,numeric,"[""2.28""]",2.87,numeric,"[""2.87""]",Insufficient data,,,,,"[""reporting_period_unverified""]","[""reporting_period_unverified""]",1,1,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_765""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_668""]",1,1,0,Not implemented,0,"[""East Region""]","[""Small Hospital""]",false,true,true,false,"[""reporting_period_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,true,false,reporting_period_unverified,true,1,1,true,false,false,true,Small Hospital,East Region
cycle_0a9639a18a957550b7d4,org_004976c32c109a2a,ind_67ee717abbe20a1b,2024/25,2025/26,true,workplan_only,,"[""workplan_only""]",excluded,higher_is_better,percent,survey respondents,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / Other""]",84.00,numeric,"[""84.00""]",88.20,numeric,"[""88.20""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_666""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,0,true,false,true,false,Small Hospital,East Region
cycle_52ba97cd86551f02e733,org_004976c32c109a2a,ind_67ee717abbe20a1b,2025/26,2026/27,true,workplan_only,,"[""workplan_only""]",excluded,higher_is_better,percent,survey respondents,false,preceding_workplan,Official definition and matching source context; observation windows require cycle-specific review,unverified,"[""Local data collection / Other""]",90.00,numeric,"[""90.00""]",95.00,numeric,"[""95.00""]",,missing,[],Insufficient data,,,,,"[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]","[""workplan_only"",""current_missing"",""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",1,0,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_754""]",[],1,1,0,Unknown,0,"[""East Region""]","[""Small Hospital""]",false,false,false,false,"[""unit_unverified"",""population_unverified"",""reporting_period_unverified"",""historical_match_unavailable_or_ambiguous"",""indicator_definition_unverified""]",No reviewed evidence establishing both observation windows for this cycle,[],,,,,false,false,outside primary ED analysis scope,false,1,1,true,false,false,true,Small Hospital,East Region
