source_record_id,unit_raw,population_raw,normalized_unit,normalized_population,context_compatible,review_reasons,datasource_period_raw
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_2,%,Discharged patients ,percent,discharged patients,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_3,Ratio (No unit),ALC patients,ratio,alc patients,true,[],WTIS / Quarter
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_4,%,Staff,percent,staff,false,"[""incompatible_indicator_unit""]",Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_5,%,Staff,percent,staff,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_6,%,All patients,percent,all patients,true,[],In house data collection  / April 1 2023 to December 31 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_7,%,Discharged patients ,percent,discharged patients,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_8,%,Discharged patients ,percent,discharged patients,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_9,%,Survey respondents,percent,survey respondents,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_10,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_11,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_12,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_13,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_14,%,Staff,percent,staff,false,"[""incompatible_indicator_unit""]",Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_15,%,Staff,percent,staff,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_16,Minutes,Patients,minutes,patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_17,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_18,%,Staff,percent,staff,false,"[""incompatible_indicator_unit""]",Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_19,%,Staff,percent,staff,true,[],Local data collection / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_20,Minutes,Patients,minutes,patients,true,[],CIHI NACRS / Other
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_21,Ratio (No unit),ALC patients,ratio,alc patients,true,[],WTIS / Quarter
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_22,Ratio (No unit),ALC patients,ratio,alc patients,true,[],WTIS / Quarter
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_23,Ratio (No unit),ALC patients,ratio,alc patients,true,[],WTIS / Quarter
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_24,Ratio (No unit),ALC patients,ratio,alc patients,true,[],WTIS / Quarter
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_25,Number,Worker,count,worker,true,[],In house data collection  / F2024/25
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_26,Number,Worker,count,worker,true,[],In house data collection  / F2024/25
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_27,90th percentile,ED patients,unknown,ed patients,false,"[""unknown_unit_or_population""]","CIHI NACRS / For ERNI hospitals: December 1, 2022, to November 30, 2023, in alignment with the P4R program"
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_28,Hours,ED patients,hours,ed patients,true,[],CIHI NACRS / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_29,Number,ED patients,count,ed patients,true,[],CIHI NACRS / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_30,%,Other,percent,unknown,false,"[""unknown_unit_or_population""]",In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_31,%,Other,percent,unknown,false,"[""unknown_unit_or_population""]",In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_32,%,All surgical procedures,percent,all surgical procedures,true,[],In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_33,%,All surgical procedures,percent,all surgical procedures,true,[],In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_34,Other,Other,unknown,unknown,false,"[""unknown_unit_or_population""]",In house data collection  / Q3
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_35,Other,Other,unknown,unknown,false,"[""unknown_unit_or_population""]",In house data collection  / Q3
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_36,Number,ALC patients,count,alc patients,true,[],In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_37,Number,ALC patients,count,alc patients,true,[],In house data collection  / Q3 2023
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_38,Number,ALC patients,count,alc patients,true,[],In house data collection  / Q3 2023
