observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_d79daf4c60b4815ea8e1,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_2,previous,formatted_current_value2,20.50,20.50,numeric
obs_21ce484a13fd873c8348,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_2,target,formatted_target_value2,18.50,18.50,numeric
obs_cea4f2e5ef9ea9532676,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_2,current,formatted_progress_value2,24.00,24.00,numeric
obs_31aa9b54540d47989ad6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_3,previous,formatted_current_value2,20.50,20.50,numeric
obs_334ad5e1dddcbaa54e31,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_3,target,formatted_target_value2,18.50,18.50,numeric
obs_a9c1edce8280cf4d8cc2,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_3,current,formatted_progress_value2,24.00,24.00,numeric
obs_517d530561ffabe29af5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_4,previous,formatted_current_value2,20.50,20.50,numeric
obs_1a55c4f116d4b2c40222,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_4,target,formatted_target_value2,18.50,18.50,numeric
obs_84486b0557c4d056dd24,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_4,current,formatted_progress_value2,24.00,24.00,numeric
obs_9fcf909caeda758f459f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_5,previous,formatted_current_value2,19.10,19.10,numeric
obs_4d3cd5f5e4509424b4c6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_5,target,formatted_target_value2,17.20,17.20,numeric
obs_6decf35a05781375eb55,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_5,current,formatted_progress_value2,18.10,18.10,numeric
obs_39a185f5d9084aa72a30,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_6,previous,formatted_current_value2,19.10,19.10,numeric
obs_f58702806821075606c5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_6,target,formatted_target_value2,17.20,17.20,numeric
obs_5e931d116fb687523dea,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_6,current,formatted_progress_value2,18.10,18.10,numeric
